Year;Movie;Director_OMDb;Genre;Runtime_min;Rated;IMDb_Rating;IMDb_Votes;Metascore;Rotten_Tomatoes;total_awards;Oscars - Best Picture;BAFTA - Best film;Golden Globes - Best movie;PGA - Best Picutre;Oscars - Best Director;BAFTA - Best Director;Golden Globes - Best Director;Oscars - Best Screenplay;BAFTA - Best Screenplay;Golden Globes - Best Screenplay;Oscars - Best Montage;BAFTA - Best Montage;Oscars - Best Cinematography;BAFTA - Best Cinematography
2022;The Power of the Dog;Jane Campion;Drama, Western;126.0;R;6,8;228441.0;89.0;94.0;5;0;1.0;1.0;0.0;1;1;1;0;0;0;0.0;0;0;0
2022;Licorice Pizza;Paul Thomas Anderson;Comedy, Drama, Romance;133.0;R;7,1;161202.0;90.0;90.0;1;0;0.0;0.0;0.0;0;0;0;0;1;0;0.0;0;0;0
2022;Drive My Car;Ryûsuke Hamaguchi;Drama;179.0;Not Rated;7,5;76804.0;90.0;97.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2022;CODA;Sian Heder;Comedy, Drama, Music;111.0;PG-13;8;213669.0;72.0;79.0;4;1;0.0;0.0;1.0;0;0;0;1;1;0;0.0;0;0;0
2022;Belfast;Kenneth Branagh;Biography, Drama;98.0;PG-13;7,2;123715.0;75.0;86.0;2;0;0.0;0.0;0.0;0;0;0;1;0;1;0.0;0;0;0
2022;Dune;David Lynch;Action, Adventure, Sci-Fi;137.0;PG-13;8;1049633.0;74.0;76.0;3;0;0.0;0.0;0.0;0;0;0;0;0;0;1.0;0;1;1
2022;King Richard;Reinaldo Marcus Green;Biography, Drama, Sport;144.0;PG-13;7,5;176528.0;76.0;90.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2022;West Side Story;Steven Spielberg;Crime, Drama, Musical;156.0;PG-13;7,1;128637.0;85.0;92.0;1;0;0.0;1.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2021;The Trial of the Chicago 7;Aaron Sorkin;Drama, History, Thriller;129.0;R;7,7;205408.0;76.0;89.0;1;0;0.0;0.0;0.0;0;0;0;0;0;1;0.0;0;0;0
2021;Nomadland;Chloé Zhao;Drama;107.0;R;7,3;219259.0;87.0;93.0;8;1;1.0;1.0;1.0;1;1;1;0;0;0;0.0;0;0;1
2021;Sound of Metal;Darius Marder;Drama, Music;120.0;R;7,7;186247.0;82.0;97.0;2;0;0.0;0.0;0.0;0;0;0;0;0;0;1.0;1;0;0
2021;Mank;David Fincher;Biography, Drama;131.0;R;6,8;105010.0;79.0;83.0;1;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;1;0
